date,group,duration,unique_users,unique_converters,conversion_events,daily_cvr
2025-12-19,A,3 Months,329,0,0,0.0
2025-12-19,A,All,329,3,3,0.9119
2025-12-19,A,Monthly,329,0,0,0.0
2025-12-19,A,Weekly,329,3,3,0.9119
2025-12-19,B,3 Months,342,0,0,0.0
2025-12-19,B,All,342,3,3,0.8772
2025-12-19,B,Monthly,342,1,1,0.2924
2025-12-19,B,Weekly,342,2,2,0.5848
2025-12-20,A,3 Months,321,0,0,0.0
2025-12-20,A,All,321,2,2,0.6231
2025-12-20,A,Monthly,321,0,0,0.0
2025-12-20,A,Weekly,321,2,2,0.6231
2025-12-20,B,3 Months,335,0,0,0.0
2025-12-20,B,All,335,2,2,0.597
2025-12-20,B,Monthly,335,0,0,0.0
2025-12-20,B,Weekly,335,2,2,0.597
2025-12-21,A,3 Months,314,0,0,0.0
2025-12-21,A,All,314,3,3,0.9554
2025-12-21,A,Monthly,314,1,1,0.3185
2025-12-21,A,Weekly,314,2,2,0.6369
2025-12-21,B,3 Months,345,0,0,0.0
2025-12-21,B,All,345,4,4,1.1594
2025-12-21,B,Monthly,345,1,1,0.2899
2025-12-21,B,Weekly,345,3,3,0.8696
2025-12-22,A,3 Months,347,0,0,0.0
2025-12-22,A,All,347,2,2,0.5764
2025-12-22,A,Monthly,347,1,1,0.2882
2025-12-22,A,Weekly,347,1,1,0.2882
2025-12-22,B,3 Months,346,0,0,0.0
2025-12-22,B,All,346,3,3,0.8671
2025-12-22,B,Monthly,346,0,0,0.0
2025-12-22,B,Weekly,346,3,3,0.8671
2025-12-23,A,3 Months,362,0,0,0.0
2025-12-23,A,All,362,0,0,0.0
2025-12-23,A,Monthly,362,0,0,0.0
2025-12-23,A,Weekly,362,0,0,0.0
2025-12-23,B,3 Months,376,0,0,0.0
2025-12-23,B,All,376,4,4,1.0638
2025-12-23,B,Monthly,376,2,2,0.5319
2025-12-23,B,Weekly,376,2,2,0.5319
2025-12-24,A,3 Months,361,1,1,0.277
2025-12-24,A,All,361,4,4,1.108
2025-12-24,A,Monthly,361,0,0,0.0
2025-12-24,A,Weekly,361,3,3,0.831
2025-12-24,B,3 Months,391,0,0,0.0
2025-12-24,B,All,391,0,0,0.0
2025-12-24,B,Monthly,391,0,0,0.0
2025-12-24,B,Weekly,391,0,0,0.0
2025-12-25,A,3 Months,415,0,0,0.0
2025-12-25,A,All,415,4,4,0.9639
2025-12-25,A,Monthly,415,1,1,0.241
2025-12-25,A,Weekly,415,3,3,0.7229
2025-12-25,B,3 Months,444,0,0,0.0
2025-12-25,B,All,444,4,4,0.9009
2025-12-25,B,Monthly,444,1,1,0.2252
2025-12-25,B,Weekly,444,3,3,0.6757
2025-12-26,A,3 Months,390,0,0,0.0
2025-12-26,A,All,390,2,2,0.5128
2025-12-26,A,Monthly,390,0,0,0.0
2025-12-26,A,Weekly,390,2,2,0.5128
2025-12-26,B,3 Months,430,0,0,0.0
2025-12-26,B,All,430,4,4,0.9302
2025-12-26,B,Monthly,430,0,0,0.0
2025-12-26,B,Weekly,430,4,4,0.9302
2025-12-27,A,3 Months,352,0,0,0.0
2025-12-27,A,All,352,2,2,0.5682
2025-12-27,A,Monthly,352,0,0,0.0
2025-12-27,A,Weekly,352,2,2,0.5682
2025-12-27,B,3 Months,362,0,0,0.0
2025-12-27,B,All,362,2,2,0.5525
