date,group,duration,unique_users,unique_converters,conversion_events,daily_cvr
2025-12-19,A,3 Months,139,0,0,0.0
2025-12-19,A,All,139,3,3,2.1583
2025-12-19,A,Monthly,139,1,1,0.7194
2025-12-19,A,Weekly,139,2,2,1.4388
2025-12-19,B,3 Months,134,0,0,0.0
2025-12-19,B,All,134,2,2,1.4925
2025-12-19,B,Monthly,134,0,0,0.0
2025-12-19,B,Weekly,134,2,2,1.4925
2025-12-20,A,3 Months,136,0,0,0.0
2025-12-20,A,All,136,3,3,2.2059
2025-12-20,A,Monthly,136,1,1,0.7353
2025-12-20,A,Weekly,136,2,2,1.4706
2025-12-20,B,3 Months,143,0,0,0.0
2025-12-20,B,All,143,2,2,1.3986
2025-12-20,B,Monthly,143,0,0,0.0
2025-12-20,B,Weekly,143,2,2,1.3986
2025-12-21,A,3 Months,144,0,0,0.0
2025-12-21,A,All,144,5,5,3.4722
2025-12-21,A,Monthly,144,0,0,0.0
2025-12-21,A,Weekly,144,5,5,3.4722
2025-12-21,B,3 Months,168,0,0,0.0
2025-12-21,B,All,168,4,4,2.381
2025-12-21,B,Monthly,168,0,0,0.0
2025-12-21,B,Weekly,168,4,4,2.381
2025-12-22,A,3 Months,137,0,0,0.0
2025-12-22,A,All,137,3,3,2.1898
2025-12-22,A,Monthly,137,2,2,1.4599
2025-12-22,A,Weekly,137,1,1,0.7299
2025-12-22,B,3 Months,150,0,0,0.0
2025-12-22,B,All,150,4,4,2.6667
2025-12-22,B,Monthly,150,0,0,0.0
2025-12-22,B,Weekly,150,4,4,2.6667
2025-12-23,A,3 Months,143,0,0,0.0
2025-12-23,A,All,143,3,3,2.0979
2025-12-23,A,Monthly,143,2,2,1.3986
2025-12-23,A,Weekly,143,1,1,0.6993
2025-12-23,B,3 Months,139,0,0,0.0
2025-12-23,B,All,139,2,2,1.4388
2025-12-23,B,Monthly,139,0,0,0.0
2025-12-23,B,Weekly,139,2,2,1.4388
2025-12-24,A,3 Months,132,0,0,0.0
2025-12-24,A,All,132,4,4,3.0303
2025-12-24,A,Monthly,132,0,0,0.0
2025-12-24,A,Weekly,132,4,4,3.0303
2025-12-24,B,3 Months,152,0,0,0.0
2025-12-24,B,All,152,5,5,3.2895
2025-12-24,B,Monthly,152,0,0,0.0
2025-12-24,B,Weekly,152,5,5,3.2895
2025-12-25,A,3 Months,139,0,0,0.0
2025-12-25,A,All,139,5,5,3.5971
2025-12-25,A,Monthly,139,3,3,2.1583
2025-12-25,A,Weekly,139,2,2,1.4388
2025-12-25,B,3 Months,158,0,0,0.0
2025-12-25,B,All,158,3,3,1.8987
2025-12-25,B,Monthly,158,0,0,0.0
2025-12-25,B,Weekly,158,3,3,1.8987
2025-12-26,A,3 Months,126,0,0,0.0
2025-12-26,A,All,126,6,6,4.7619
2025-12-26,A,Monthly,126,2,2,1.5873
2025-12-26,A,Weekly,126,4,4,3.1746
2025-12-26,B,3 Months,147,0,0,0.0
2025-12-26,B,All,147,1,1,0.6803
2025-12-26,B,Monthly,147,0,0,0.0
2025-12-26,B,Weekly,147,1,1,0.6803
2025-12-27,A,3 Months,133,0,0,0.0
2025-12-27,A,All,133,3,3,2.2556
2025-12-27,A,Monthly,133,0,0,0.0
2025-12-27,A,Weekly,133,3,3,2.2556
2025-12-27,B,3 Months,155,1,1,0.6452
2025-12-27,B,All,155,4,4,2.5806
2025-12-27,B,Monthly,155,1,1,0.6452
2025-12-27,B,Weekly,155,2,2,1.2903
2025-12-28,A,3 Months,127,0,0,0.0
2025-12-28,A,All,127,3,3,2.3622
2025-12-28,A,Monthly,127,1,1,0.7874
2025-12-28,A,Weekly,127,2,2,1.5748
2025-12-28,B,3 Months,155,1,1,0.6452
2025-12-28,B,All,155,7,7,4.5161
2025-12-28,B,Monthly,155,0,0,0.0
2025-12-28,B,Weekly,155,6,6,3.871
2025-12-29,A,3 Months,124,0,0,0.0
2025-12-29,A,All,124,2,2,1.6129
2025-12-29,A,Monthly,124,0,0,0.0
2025-12-29,A,Weekly,124,2,2,1.6129
2025-12-29,B,3 Months,143,0,0,0.0
2025-12-29,B,All,143,1,1,0.6993
2025-12-29,B,Monthly,143,0,0,0.0
2025-12-29,B,Weekly,143,1,1,0.6993
2025-12-30,A,3 Months,134,1,1,0.7463
2025-12-30,A,All,134,4,4,2.9851
2025-12-30,A,Monthly,134,0,0,0.0
2025-12-30,A,Weekly,134,3,3,2.2388
2025-12-30,B,3 Months,135,0,0,0.0
2025-12-30,B,All,135,4,4,2.963
2025-12-30,B,Monthly,135,2,2,1.4815
2025-12-30,B,Weekly,135,2,2,1.4815
2025-12-31,A,3 Months,123,0,0,0.0
2025-12-31,A,All,123,4,4,3.252
2025-12-31,A,Monthly,123,0,0,0.0
2025-12-31,A,Weekly,123,4,4,3.252
2025-12-31,B,3 Months,149,0,0,0.0
2025-12-31,B,All,149,3,3,2.0134
2025-12-31,B,Monthly,149,1,1,0.6711
2025-12-31,B,Weekly,149,2,2,1.3423
2026-01-01,A,3 Months,122,0,0,0.0
2026-01-01,A,All,122,2,2,1.6393
2026-01-01,A,Monthly,122,1,1,0.8197
2026-01-01,A,Weekly,122,1,1,0.8197
2026-01-01,B,3 Months,150,0,0,0.0
2026-01-01,B,All,150,1,1,0.6667
2026-01-01,B,Monthly,150,1,1,0.6667
2026-01-01,B,Weekly,150,0,0,0.0
2026-01-02,A,3 Months,135,0,0,0.0
2026-01-02,A,All,135,3,3,2.2222
2026-01-02,A,Monthly,135,2,2,1.4815
2026-01-02,A,Weekly,135,1,1,0.7407
2026-01-02,B,3 Months,165,0,0,0.0
2026-01-02,B,All,165,4,4,2.4242
2026-01-02,B,Monthly,165,2,2,1.2121
2026-01-02,B,Weekly,165,2,2,1.2121
2026-01-03,A,3 Months,134,0,0,0.0
2026-01-03,A,All,134,2,2,1.4925
2026-01-03,A,Monthly,134,0,0,0.0
2026-01-03,A,Weekly,134,2,2,1.4925
2026-01-03,B,3 Months,152,0,0,0.0
2026-01-03,B,All,152,4,4,2.6316
2026-01-03,B,Monthly,152,0,0,0.0
2026-01-03,B,Weekly,152,4,4,2.6316
2026-01-04,A,3 Months,155,0,0,0.0
2026-01-04,A,All,155,2,2,1.2903
2026-01-04,A,Monthly,155,1,1,0.6452
