date,group,duration,unique_users,unique_converters,conversion_events,daily_cvr
2025-12-19,A,3 Months,184,0,0,0.0
2025-12-19,A,All,184,5,5,2.7174
2025-12-19,A,Monthly,184,1,1,0.5435
2025-12-19,A,Weekly,184,4,4,2.1739
2025-12-19,B,3 Months,184,0,0,0.0
2025-12-19,B,All,184,2,2,1.087
2025-12-19,B,Monthly,184,0,0,0.0
2025-12-19,B,Weekly,184,2,2,1.087
2025-12-20,A,3 Months,184,0,0,0.0
2025-12-20,A,All,184,4,4,2.1739
2025-12-20,A,Monthly,184,3,3,1.6304
2025-12-20,A,Weekly,184,1,1,0.5435
2025-12-20,B,3 Months,178,0,0,0.0
2025-12-20,B,All,178,6,6,3.3708
2025-12-20,B,Monthly,178,1,1,0.5618
2025-12-20,B,Weekly,178,5,5,2.809
2025-12-21,A,3 Months,212,0,0,0.0
2025-12-21,A,All,212,7,7,3.3019
2025-12-21,A,Monthly,212,1,1,0.4717
2025-12-21,A,Weekly,212,6,6,2.8302
2025-12-21,B,3 Months,202,0,0,0.0
2025-12-21,B,All,202,9,9,4.4554
2025-12-21,B,Monthly,202,1,1,0.495
2025-12-21,B,Weekly,202,8,8,3.9604
2025-12-22,A,3 Months,197,0,0,0.0
2025-12-22,A,All,197,3,3,1.5228
2025-12-22,A,Monthly,197,0,0,0.0
2025-12-22,A,Weekly,197,3,3,1.5228
2025-12-22,B,3 Months,195,0,0,0.0
2025-12-22,B,All,195,3,3,1.5385
2025-12-22,B,Monthly,195,1,1,0.5128
2025-12-22,B,Weekly,195,2,2,1.0256
2025-12-23,A,3 Months,185,0,0,0.0
2025-12-23,A,All,185,2,2,1.0811
2025-12-23,A,Monthly,185,0,0,0.0
2025-12-23,A,Weekly,185,2,2,1.0811
2025-12-23,B,3 Months,176,0,0,0.0
2025-12-23,B,All,176,1,1,0.5682
2025-12-23,B,Monthly,176,1,1,0.5682
2025-12-23,B,Weekly,176,0,0,0.0
2025-12-24,A,3 Months,210,0,0,0.0
2025-12-24,A,All,210,6,6,2.8571
2025-12-24,A,Monthly,210,1,1,0.4762
2025-12-24,A,Weekly,210,5,5,2.381
2025-12-24,B,3 Months,197,0,0,0.0
2025-12-24,B,All,197,1,1,0.5076
2025-12-24,B,Monthly,197,1,1,0.5076
2025-12-24,B,Weekly,197,0,0,0.0
2025-12-25,A,3 Months,233,0,0,0.0
