date,group,duration,unique_users,unique_converters,conversion_events,daily_cvr
2025-12-19,A,3 Months,1092,1,1,0.0916
2025-12-19,A,All,1092,5,5,0.4579
2025-12-19,A,Monthly,1092,0,0,0.0
2025-12-19,A,Weekly,1092,4,4,0.3663
2025-12-19,B,3 Months,1027,0,0,0.0
2025-12-19,B,All,1027,10,10,0.9737
2025-12-19,B,Monthly,1027,2,2,0.1947
2025-12-19,B,Weekly,1027,8,8,0.779
2025-12-20,A,3 Months,1075,0,0,0.0
2025-12-20,A,All,1075,4,4,0.3721
2025-12-20,A,Monthly,1075,0,0,0.0
2025-12-20,A,Weekly,1075,4,4,0.3721
2025-12-20,B,3 Months,1047,0,0,0.0
2025-12-20,B,All,1047,3,3,0.2865
2025-12-20,B,Monthly,1047,1,1,0.0955
2025-12-20,B,Weekly,1047,2,2,0.191
2025-12-21,A,3 Months,1154,0,0,0.0
2025-12-21,A,All,1154,6,6,0.5199
2025-12-21,A,Monthly,1154,1,1,0.0867
2025-12-21,A,Weekly,1154,5,5,0.4333
2025-12-21,B,3 Months,1067,1,1,0.0937
2025-12-21,B,All,1067,9,9,0.8435
2025-12-21,B,Monthly,1067,3,3,0.2812
2025-12-21,B,Weekly,1067,5,5,0.4686
2025-12-22,A,3 Months,1119,0,0,0.0
2025-12-22,A,All,1119,9,9,0.8043
2025-12-22,A,Monthly,1119,5,5,0.4468
2025-12-22,A,Weekly,1119,4,4,0.3575
2025-12-22,B,3 Months,1066,0,0,0.0
2025-12-22,B,All,1066,6,6,0.5629
2025-12-22,B,Monthly,1066,1,1,0.0938
2025-12-22,B,Weekly,1066,5,5,0.469
2025-12-23,A,3 Months,1109,0,0,0.0
2025-12-23,A,All,1109,9,9,0.8115
2025-12-23,A,Monthly,1109,3,3,0.2705
2025-12-23,A,Weekly,1109,6,6,0.541
2025-12-23,B,3 Months,1042,1,1,0.096
2025-12-23,B,All,1042,7,7,0.6718
2025-12-23,B,Monthly,1042,1,1,0.096
2025-12-23,B,Weekly,1042,5,5,0.4798
2025-12-24,A,3 Months,1126,0,0,0.0
2025-12-24,A,All,1126,7,7,0.6217
2025-12-24,A,Monthly,1126,2,2,0.1776
2025-12-24,A,Weekly,1126,5,5,0.444
2025-12-24,B,3 Months,1038,1,1,0.0963
2025-12-24,B,All,1038,8,8,0.7707
2025-12-24,B,Monthly,1038,3,3,0.289
2025-12-24,B,Weekly,1038,4,4,0.3854
2025-12-25,A,3 Months,1190,0,0,0.0
2025-12-25,A,All,1190,8,8,0.6723
2025-12-25,A,Monthly,1190,1,1,0.084
2025-12-25,A,Weekly,1190,7,7,0.5882
2025-12-25,B,3 Months,1098,0,0,0.0
2025-12-25,B,All,1098,10,10,0.9107
2025-12-25,B,Monthly,1098,2,2,0.1821
2025-12-25,B,Weekly,1098,8,8,0.7286
2025-12-26,A,3 Months,1151,0,0,0.0
2025-12-26,A,All,1151,12,12,1.0426
2025-12-26,A,Monthly,1151,2,2,0.1738
2025-12-26,A,Weekly,1151,10,10,0.8688
2025-12-26,B,3 Months,1070,0,0,0.0
2025-12-26,B,All,1070,10,10,0.9346
2025-12-26,B,Monthly,1070,3,3,0.2804
2025-12-26,B,Weekly,1070,7,7,0.6542
2025-12-27,A,3 Months,1119,0,0,0.0
2025-12-27,A,All,1119,8,8,0.7149
2025-12-27,A,Monthly,1119,1,1,0.0894
2025-12-27,A,Weekly,1119,7,7,0.6256
2025-12-27,B,3 Months,1056,0,0,0.0
2025-12-27,B,All,1056,6,6,0.5682
2025-12-27,B,Monthly,1056,0,0,0.0
2025-12-27,B,Weekly,1056,6,6,0.5682
2025-12-28,A,3 Months,1099,0,0,0.0
