date,group,duration,unique_users,unique_converters,conversion_events,daily_cvr
2025-12-19,A,3 Months,736,2,2,0.2717
2025-12-19,A,All,736,19,19,2.5815
2025-12-19,A,Monthly,736,4,4,0.5435
2025-12-19,A,Weekly,736,13,13,1.7663
2025-12-19,B,3 Months,659,0,0,0.0
2025-12-19,B,All,659,14,14,2.1244
2025-12-19,B,Monthly,659,3,3,0.4552
2025-12-19,B,Weekly,659,11,11,1.6692
2025-12-20,A,3 Months,747,0,0,0.0
2025-12-20,A,All,747,17,17,2.2758
2025-12-20,A,Monthly,747,5,5,0.6693
2025-12-20,A,Weekly,747,12,12,1.6064
2025-12-20,B,3 Months,684,1,1,0.1462
2025-12-20,B,All,684,20,20,2.924
2025-12-20,B,Monthly,684,1,1,0.1462
2025-12-20,B,Weekly,684,18,18,2.6316
2025-12-21,A,3 Months,793,0,0,0.0
2025-12-21,A,All,793,20,20,2.5221
2025-12-21,A,Monthly,793,2,2,0.2522
2025-12-21,A,Weekly,793,18,18,2.2699
2025-12-21,B,3 Months,729,0,0,0.0
2025-12-21,B,All,729,30,30,4.1152
2025-12-21,B,Monthly,729,4,4,0.5487
2025-12-21,B,Weekly,729,26,26,3.5665
2025-12-22,A,3 Months,770,3,3,0.3896
2025-12-22,A,All,770,32,32,4.1558
2025-12-22,A,Monthly,770,4,4,0.5195
2025-12-22,A,Weekly,770,25,25,3.2468
2025-12-22,B,3 Months,717,0,0,0.0
2025-12-22,B,All,717,20,20,2.7894
2025-12-22,B,Monthly,717,5,5,0.6974
2025-12-22,B,Weekly,717,15,15,2.0921
2025-12-23,A,3 Months,758,0,0,0.0
2025-12-23,A,All,758,29,29,3.8259
2025-12-23,A,Monthly,758,5,5,0.6596
2025-12-23,A,Weekly,758,24,24,3.1662
2025-12-23,B,3 Months,699,0,0,0.0
2025-12-23,B,All,699,11,11,1.5737
2025-12-23,B,Monthly,699,3,3,0.4292
2025-12-23,B,Weekly,699,8,8,1.1445
2025-12-24,A,3 Months,761,0,0,0.0
2025-12-24,A,All,761,14,14,1.8397
2025-12-24,A,Monthly,761,3,3,0.3942
2025-12-24,A,Weekly,761,11,11,1.4455
2025-12-24,B,3 Months,708,0,0,0.0
2025-12-24,B,All,708,26,26,3.6723
2025-12-24,B,Monthly,708,4,4,0.565
2025-12-24,B,Weekly,708,22,22,3.1073
2025-12-25,A,3 Months,797,1,1,0.1255
2025-12-25,A,All,797,30,30,3.7641
2025-12-25,A,Monthly,797,5,5,0.6274
2025-12-25,A,Weekly,797,24,24,3.0113
2025-12-25,B,3 Months,754,0,0,0.0
2025-12-25,B,All,754,16,16,2.122
2025-12-25,B,Monthly,754,3,3,0.3979
2025-12-25,B,Weekly,754,13,13,1.7241
2025-12-26,A,3 Months,785,1,1,0.1274
2025-12-26,A,All,785,18,18,2.293
2025-12-26,A,Monthly,785,3,3,0.3822
2025-12-26,A,Weekly,785,14,14,1.7834
2025-12-26,B,3 Months,748,0,0,0.0
2025-12-26,B,All,748,21,21,2.8075
2025-12-26,B,Monthly,748,5,5,0.6684
2025-12-26,B,Weekly,748,16,16,2.139
2025-12-27,A,3 Months,777,0,0,0.0
2025-12-27,A,All,777,23,23,2.9601
2025-12-27,A,Monthly,777,6,6,0.7722
2025-12-27,A,Weekly,777,17,17,2.1879
2025-12-27,B,3 Months,729,2,2,0.2743
2025-12-27,B,All,729,30,30,4.1152
2025-12-27,B,Monthly,729,3,3,0.4115
2025-12-27,B,Weekly,729,25,25,3.4294
2025-12-28,A,3 Months,814,1,1,0.1229
2025-12-28,A,All,814,27,27,3.317
2025-12-28,A,Monthly,814,2,2,0.2457
2025-12-28,A,Weekly,814,24,24,2.9484
2025-12-28,B,3 Months,766,0,0,0.0
2025-12-28,B,All,766,23,23,3.0026
2025-12-28,B,Monthly,766,4,4,0.5222
2025-12-28,B,Weekly,766,19,19,2.4804
2025-12-29,A,3 Months,769,0,0,0.0
2025-12-29,A,All,769,23,23,2.9909
2025-12-29,A,Monthly,769,1,1,0.13
2025-12-29,A,Weekly,769,22,22,2.8609
2025-12-29,B,3 Months,772,0,0,0.0
2025-12-29,B,All,772,22,22,2.8497
2025-12-29,B,Monthly,772,4,4,0.5181
2025-12-29,B,Weekly,772,18,18,2.3316
2025-12-30,A,3 Months,792,2,2,0.2525
2025-12-30,A,All,792,22,22,2.7778
2025-12-30,A,Monthly,792,3,3,0.3788
2025-12-30,A,Weekly,792,17,17,2.1465
2025-12-30,B,3 Months,755,0,0,0.0
2025-12-30,B,All,755,20,20,2.649
2025-12-30,B,Monthly,755,3,3,0.3974
2025-12-30,B,Weekly,755,17,17,2.2517
2025-12-31,A,3 Months,728,0,0,0.0
2025-12-31,A,All,728,17,17,2.3352
2025-12-31,A,Monthly,728,5,5,0.6868
2025-12-31,A,Weekly,728,12,12,1.6484
2025-12-31,B,3 Months,742,1,1,0.1348
2025-12-31,B,All,742,22,22,2.965
2025-12-31,B,Monthly,742,2,2,0.2695
2025-12-31,B,Weekly,742,19,19,2.5606
2026-01-01,A,3 Months,822,1,1,0.1217
2026-01-01,A,All,822,27,27,3.2847
2026-01-01,A,Monthly,822,5,5,0.6083
2026-01-01,A,Weekly,822,21,21,2.5547
2026-01-01,B,3 Months,778,1,1,0.1285
2026-01-01,B,All,778,20,20,2.5707
2026-01-01,B,Monthly,778,1,1,0.1285
