date,age,group,duration,purchase_type,users,exposures,unique_converters,converted_users,events,user_cvr,revenue,revenue_per_user
2025-12-19,18,A,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,18,A,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,18,A,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,18,A,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,All,All,1,1,1,1,1,100.0,8.49,8.49
2025-12-19,18,B,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,Weekly,All,1,1,1,1,1,100.0,8.49,8.49
2025-12-19,19,A,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,3 Months,All,4,4,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,All,All,4,4,1,1,1,25.0,8.99,2.2475
2025-12-19,19,B,Monthly,All,4,4,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,Weekly,All,4,4,1,1,1,25.0,8.99,2.2475
2025-12-19,20,A,3 Months,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,All,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,Monthly,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,Weekly,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,3 Months,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,All,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,Monthly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,Weekly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,3 Months,All,7,7,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,All,All,7,7,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,Monthly,All,7,7,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,Weekly,All,7,7,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,3 Months,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,All,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,Monthly,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,Weekly,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,22,A,3 Months,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,22,A,All,All,3,3,0,0,0,0.0,0.0,0.0
