date,age,group,duration,purchase_type,users,exposures,unique_converters,converted_users,events,user_cvr,revenue,revenue_per_user
2025-12-19,18,A,3 Months,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,A,All,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,A,Monthly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,A,Weekly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,3 Months,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,All,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,Monthly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,18,B,Weekly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,3 Months,All,12,12,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,All,All,12,12,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,Monthly,All,12,12,0,0,0,0.0,0.0,0.0
2025-12-19,19,A,Weekly,All,12,12,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,3 Months,All,10,10,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,All,All,10,10,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,Monthly,All,10,10,0,0,0,0.0,0.0,0.0
2025-12-19,19,B,Weekly,All,10,10,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,3 Months,All,17,17,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,All,All,17,17,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,Monthly,All,17,17,0,0,0,0.0,0.0,0.0
2025-12-19,20,A,Weekly,All,17,17,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,3 Months,All,28,28,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,All,All,28,28,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,Monthly,All,28,28,0,0,0,0.0,0.0,0.0
2025-12-19,20,B,Weekly,All,28,28,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,3 Months,All,19,19,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,All,All,19,19,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,Monthly,All,19,19,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,Weekly,All,19,19,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,3 Months,All,32,32,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,All,All,32,32,1,1,1,3.125,8.99,0.2809
2025-12-19,21,B,Monthly,All,32,32,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,Weekly,All,32,32,1,1,1,3.125,8.99,0.2809
2025-12-19,22,A,3 Months,All,39,39,0,0,0,0.0,0.0,0.0
2025-12-19,22,A,All,All,39,39,0,0,0,0.0,0.0,0.0
2025-12-19,22,A,Monthly,All,39,39,0,0,0,0.0,0.0,0.0
2025-12-19,22,A,Weekly,All,39,39,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,3 Months,All,39,39,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,All,All,39,39,1,1,1,2.5641,9.49,0.2433
2025-12-19,22,B,Monthly,All,39,39,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,Weekly,All,39,39,1,1,1,2.5641,9.49,0.2433
2025-12-19,23,A,3 Months,All,47,47,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,All,All,47,47,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,Monthly,All,47,47,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,Weekly,All,47,47,0,0,0,0.0,0.0,0.0
2025-12-19,23,B,3 Months,All,36,36,0,0,0,0.0,0.0,0.0
2025-12-19,23,B,All,All,36,36,1,1,1,2.7778,19.99,0.5553
2025-12-19,23,B,Monthly,All,36,36,1,1,1,2.7778,19.99,0.5553
2025-12-19,23,B,Weekly,All,36,36,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,3 Months,All,63,63,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,All,All,63,63,1,1,1,1.5873,9.99,0.1586
2025-12-19,24,A,Monthly,All,63,63,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,Weekly,All,63,63,1,1,1,1.5873,9.99,0.1586
2025-12-19,24,B,3 Months,All,47,47,0,0,0,0.0,0.0,0.0
2025-12-19,24,B,All,All,47,47,1,1,1,2.1277,20.99,0.4466
2025-12-19,24,B,Monthly,All,47,47,1,1,1,2.1277,20.99,0.4466
2025-12-19,24,B,Weekly,All,47,47,0,0,0,0.0,0.0,0.0
2025-12-19,25,A,3 Months,All,68,68,0,0,0,0.0,0.0,0.0
