date,age,group,duration,purchase_type,users,exposures,unique_converters,converted_users,events,user_cvr,revenue,revenue_per_user
2025-12-19,21,A,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,A,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,21,B,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,22,B,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,23,A,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,A,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,B,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,B,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,B,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,24,B,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,A,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,A,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,A,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,A,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,B,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,B,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,B,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,25,B,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,26,A,3 Months,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,26,A,All,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,26,A,Monthly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,26,A,Weekly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,26,B,3 Months,All,2,2,0,0,0,0.0,0.0,0.0
2025-12-19,26,B,All,All,2,2,0,0,0,0.0,0.0,0.0
2025-12-19,26,B,Monthly,All,2,2,0,0,0,0.0,0.0,0.0
2025-12-19,26,B,Weekly,All,2,2,0,0,0,0.0,0.0,0.0
2025-12-19,27,A,3 Months,All,2,2,0,0,0,0.0,0.0,0.0
2025-12-19,27,A,All,All,2,2,1,1,1,50.0,13.99,6.995
2025-12-19,27,A,Monthly,All,2,2,0,0,0,0.0,0.0,0.0
2025-12-19,27,A,Weekly,All,2,2,1,1,1,50.0,13.99,6.995
2025-12-19,27,B,3 Months,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,27,B,All,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,27,B,Monthly,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,27,B,Weekly,All,5,5,0,0,0,0.0,0.0,0.0
2025-12-19,28,A,3 Months,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,28,A,All,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,28,A,Monthly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,28,A,Weekly,All,3,3,0,0,0,0.0,0.0,0.0
2025-12-19,28,B,3 Months,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,28,B,All,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,28,B,Monthly,All,1,1,0,0,0,0.0,0.0,0.0
2025-12-19,28,B,Weekly,All,1,1,0,0,0,0.0,0.0,0.0
