os,region,age,group,price,unique_users,conversions,cvr_pct
android,poor,18,A,P5,66,3,4.55%
android,poor,18,B,P5,70,2,2.86%
android,poor,19,A,P5,31,2,6.45%
android,poor,19,B,P5,18,0,0.0%
android,poor,20,A,P5,30,1,3.33%
android,poor,20,B,P5,33,5,15.15%
android,poor,21,A,P5,28,4,14.29%
android,poor,21,B,P5,32,1,3.12%
android,poor,22,A,P10,43,5,11.63%
android,poor,22,B,P10,42,3,7.14%
android,poor,23,A,P10,49,4,8.16%
android,poor,23,B,P10,45,6,13.33%
android,poor,24,A,P10,65,9,13.85%
android,poor,24,B,P10,59,9,15.25%
android,poor,25,A,P14,64,6,9.38%
android,poor,25,B,P12,86,9,10.47%
android,poor,26,A,P14,75,8,10.67%
android,poor,26,B,P12,71,9,12.68%
android,poor,27,A,P14,92,6,6.52%
android,poor,27,B,P12,73,11,15.07%
android,poor,28,A,P14,86,10,11.63%
android,poor,28,B,P12,86,9,10.47%
android,poor,29,A,P14,98,10,10.2%
android,poor,29,B,P12,91,4,4.4%
android,poor,30,A,P20,108,7,6.48%
android,poor,30,B,P12,89,6,6.74%
android,poor,31,A,P20,101,8,7.92%
android,poor,31,B,P12,109,8,7.34%
android,poor,32,A,P20,94,5,5.32%
android,poor,32,B,P12,83,4,4.82%
android,poor,33,A,P20,110,7,6.36%
android,poor,33,B,P12,106,9,8.49%
android,poor,34,A,P20,90,0,0.0%
android,poor,34,B,P12,93,11,11.83%
android,poor,35,A,P28,109,6,5.5%
android,poor,35,B,P20,115,8,6.96%
android,poor,36,A,P28,77,3,3.9%
android,poor,36,B,P20,90,2,2.22%
android,poor,37,A,P28,96,5,5.21%
android,poor,37,B,P20,74,5,6.76%
android,poor,38,A,P28,76,0,0.0%
android,poor,38,B,P20,88,2,2.27%
android,poor,39,A,P28,70,4,5.71%
android,poor,39,B,P20,69,3,4.35%
android,poor,40,A,P28,468,9,1.92%
android,poor,40,B,P20,588,23,3.91%
android,mid,18,P,P9,14,0,0.0%
android,mid,19,P,P10,10,1,10.0%
android,mid,20,P,P11,9,2,22.22%
android,mid,21,P,P12,11,1,9.09%
android,mid,22,P,P13,16,1,6.25%
android,mid,23,P,P14,26,0,0.0%
android,mid,24,P,P15,34,2,5.88%
android,mid,25,P,P16,39,1,2.56%
android,mid,26,P,P17,49,4,8.16%
android,mid,27,P,P18,41,9,21.95%
android,mid,28,P,P19,58,6,10.34%
android,mid,29,P,P20,44,4,9.09%
android,mid,30,P,P21,62,4,6.45%
android,mid,31,P,P22,72,6,8.33%
android,mid,32,P,P23,71,4,5.63%
android,mid,33,P,P24,71,5,7.04%
android,mid,34,P,P25,76,1,1.32%
android,mid,35,P,P26,65,5,7.69%
android,mid,36,P,P27,50,2,4.0%
android,mid,37,P,P28,62,5,8.06%
android,mid,38,P,P29,44,1,2.27%
android,mid,39,P,P30,47,1,2.13%
android,mid,40,P,P30,373,18,4.83%
android,dev,18,P,P9,24,1,4.17%
android,dev,19,P,P10,15,2,13.33%
android,dev,20,P,P11,14,1,7.14%
android,dev,21,P,P12,11,3,27.27%
android,dev,22,P,P13,27,1,3.7%
android,dev,23,P,P14,46,9,19.57%
android,dev,24,P,P15,57,8,14.04%
android,dev,25,P,P16,83,14,16.87%
android,dev,26,P,P17,96,17,17.71%
android,dev,27,P,P18,130,23,17.69%
android,dev,28,P,P19,137,15,10.95%
